============================= test session starts ==============================
platform linux -- Python 3.8.6, pytest-6.2.2, py-1.10.0, pluggy-0.13.1 -- /home/ubuntu/.virtualenvs/docker-py/bin/python
cachedir: .pytest_cache
rootdir: /home/ubuntu/docker-py, configfile: pytest.ini
plugins: cov-2.6.1, timeout-1.3.3
collecting ... collected 415 items

tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_with_labels_wrong_type PASSED [ 48%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_remove_network_with_space_in_name PASSED [ 48%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_with_aliases PASSED [ 48%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_with_driveropt PASSED [ 48%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_with_ipv4_address PASSED [ 49%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_with_ipv6_address PASSED [ 49%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_with_linklocal_ips PASSED [ 49%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_with_links PASSED [ 49%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_inspect_network PASSED [ 50%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_list_networks PASSED [ 50%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_prune_networks PASSED [ 50%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_remove_network PASSED [ 50%]
tests/integration/api_plugin_test.py::PluginTest::test_configure_plugin PASSED [ 51%]
tests/integration/api_plugin_test.py::PluginTest::test_create_plugin PASSED [ 51%]
tests/integration/api_plugin_test.py::PluginTest::test_disable_plugin PASSED [ 51%]
tests/integration/api_plugin_test.py::PluginTest::test_enable_plugin PASSED [ 51%]
tests/integration/api_plugin_test.py::PluginTest::test_force_remove_plugin PASSED [ 52%]
tests/integration/api_plugin_test.py::PluginTest::test_inspect_plugin PASSED [ 52%]
tests/integration/api_plugin_test.py::PluginTest::test_install_plugin PASSED [ 52%]
tests/integration/api_plugin_test.py::PluginTest::test_list_plugins PASSED [ 52%]
tests/integration/api_plugin_test.py::PluginTest::test_plugin_privileges PASSED [ 53%]
tests/integration/api_plugin_test.py::PluginTest::test_remove_plugin PASSED [ 53%]
tests/integration/api_plugin_test.py::PluginTest::test_upgrade_plugin PASSED [ 53%]
tests/integration/api_secret_test.py::SecretAPITest::test_create_secret PASSED [ 53%]
tests/integration/api_secret_test.py::SecretAPITest::test_create_secret_unicode_data PASSED [ 53%]
tests/integration/api_secret_test.py::SecretAPITest::test_inspect_secret PASSED [ 54%]
tests/integration/api_secret_test.py::SecretAPITest::test_list_secrets PASSED [ 54%]
tests/integration/api_secret_test.py::SecretAPITest::test_remove_secret PASSED [ 54%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_custom_log_driver PASSED [ 54%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_global_mode PASSED [ 55%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_replicated_mode PASSED [ 55%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_simple PASSED [ 55%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_config PASSED [ 55%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_custom_networks PASSED [ 56%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_dns_config PASSED [ 56%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_endpoint_spec PASSED [ 56%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_endpoint_spec_host_publish_mode PASSED [ 56%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_env PASSED [ 57%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_failure_action_rollback PASSED [ 57%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_generic_resources PASSED [ 57%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_groups PASSED [ 57%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_healthcheck PASSED [ 58%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_hostname PASSED [ 58%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_hosts PASSED [ 58%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_init PASSED [ 58%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_invalid_generic_resources PASSED [ 59%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_network_attachment_config PASSED [ 59%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_placement PASSED [ 59%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_placement_maxreplicas SKIPPED [ 59%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_placement_object PASSED [ 60%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_placement_platform PASSED [ 60%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_placement_preferences PASSED [ 60%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_placement_preferences_tuple PASSED [ 60%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_privileges PASSED [ 60%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_readonly PASSED [ 61%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_resources_constraints PASSED [ 61%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_restart_policy PASSED [ 61%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_rollback_config PASSED [ 61%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_secret PASSED [ 62%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_stop_signal PASSED [ 62%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_tty PASSED [ 62%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_tty_dict PASSED [ 62%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_unicode_config PASSED [ 63%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_unicode_secret PASSED [ 63%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_update_config PASSED [ 63%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_update_config_monitor PASSED [ 63%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_update_order PASSED [ 64%]
tests/integration/api_service_test.py::ServiceTest::test_create_service_with_volume_mount PASSED [ 64%]
